Topic,Count,Name,Representation,Representative_Docs,Representation_Clean,Name_Clean
-1,2091,-1_todo_hoje_dia_nem,"['todo', 'hoje', 'dia', 'nem', 'faz', 'tempo', 'mundo', 'vem', 'jeito', 'amar']","['O jeito é dar uma fugidinha com você O jeito é dar uma fugida com você Se você quer saber o que vai acontecer Primeiro a gente foge, depois a gente vê O jeito é dar uma fugidinha com você O jeito é dar uma fugida com você Se você quer saber o que vai acontecer Primeiro a gente foge, depois a gente vê', 'Todo dia eu quero, todo dia espero Todo dia eu chamo, todo dia eu amo Só você, iê, iê E vai valer a pena mudar essa cena Viver meu roteiro, amo o tempo inteiro Só você', 'Todo dia eu quero, todo dia espero Todo dia eu chamo, todo dia eu amo (eu amo) Só você, iê, iê E vai valer a pena mudar essa cena Viver o meu roteiro, amo o tempo inteiro Só você']","['todo', 'hoje', 'dia', 'nem', 'faz', 'tempo', 'mundo', 'vem', 'jeito', 'amar']",-1_todo_hoje_dia_nem
0,243,0_beijo_boca_corpo_beija,"['beijo', 'boca', 'corpo', 'beija', 'beijar', 'outra', 'apenas', 'encontro', 'todo mundo', 'todo']","['Se quer um beijo apenas me dê um sorriso Nesse beijo vai querer ficar comigo E acreditar no amor', 'Eu namorava um moreno que não me dava problema, só dava beijo na boca Era beijo no mercado, no postinho de saúde e até estendendo roupa Mas de um tempo cá ele tá meio custoso, ridica beijo pra mim Fez um plim-plim no meu Zap os vídeo desse covarde, foi aí que eu descobri', 'Eu namorava uma morena que não me dava problema, só dava beijo na boca Era beijo no mercado, no postinho de saúde e até estendendo roupa Mas de um tempo cá ela tá meio custosa, ridica beijo pra mim Fez um plim-plim no meu Zap os vídeo dessa covarde, foi aí que eu descobri']","['beijo', 'boca', 'corpo', 'beija', 'beijar', 'outra', 'apenas', 'encontro', 'todo mundo', 'todo']",0_beijo_boca_corpo_beija
1,185,1_beber_copo_bebendo_mesa,"['beber', 'copo', 'bebendo', 'mesa', 'cerveja', 'bar', 'tomou', 'bebo', 'parar', 'saudade']","['Em uma cadeira de aço enferrujada e bebendo Cada copo americano enganava o meu sofrimento Achei que eu tivesse esquecido a danada naquela hora Até ver seu nome escrito na lata de Coca-Cola', 'Em uma cadeira de aço enferrujada e bebendo Cada copo americano enganava o meu sofrimento Achei que eu tivesse esquecido a danada naquela hora Até ver o seu nome escrito na lata de Coca-Cola', 'Sentado numa cadeira de aço enferrujada e bebendo Cada copo americano enganava o meu sofrimento Achei que eu tivesse esquecido a danada naquela hora Até ver seu nome escrito na lata de Coca-Cola']","['beber', 'copo', 'bebendo', 'mesa', 'cerveja', 'bar', 'tomou', 'bebo', 'parar', 'saudade']",1_beber_copo_bebendo_mesa
2,182,2_saudade_solidão_dia_sentir,"['saudade', 'solidão', 'dia', 'sentir', 'sinto', 'chove', 'sabe dia', 'bye', 'esquecer', 'sinto saudade']","['Vai sentir saudade Vai sentir saudade Vai sentir saudade O dia que eu for embora', 'Eu sinto saudade Eu fico, eu vivo sentindo a sua saudade, de nós, na voz Saudade da gente, saudade é pra sempre Eu vivo sentindo a sua saudade', 'Eu sinto saudade Eu fico, eu vivo sentindo a sua saudade, de nós, na voz Saudade da gente, saudade é pra sempre']","['saudade', 'solidão', 'dia', 'sentir', 'sinto', 'chove', 'sabe dia', 'bye', 'esquecer', 'sinto saudade']",2_saudade_solidão_dia_sentir
3,158,3_fim_amor amor_amo_acabou,"['fim', 'amor amor', 'amo', 'acabou', 'ie', 'estar', 'amar', 'mim amor', 'sabe', 'sei sei']","['Você deve estar com medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar Tem medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar', 'Você deve estar com medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar', 'Você deve estar com medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar (Insensível)']","['fim', 'amor amor', 'amo', 'acabou', 'ie', 'estar', 'amar', 'mim amor', 'sabe', 'sei sei']",3_fim_amor-amor_amo_acabou
4,150,4_tempo_melhor_cada_lado,"['tempo', 'melhor', 'cada', 'lado', 'coisas', 'nem', 'hora', 'perto', 'mundo', 'vezes']","['E toda vez que eu vou pra deixar ela, eu deixo quieto Mas que às vezes dá vontade, dá De mandar pra longe, eu chego mais perto E toda vez que eu vou pra deixar ela, eu deixo quieto Mas que às vezes dá vontade, dá De mandar pra longe, eu chego mais perto', 'O tempo passa depressa quando estou com você As horas viram minutos, não consigo entender E o que eu mais quero é viver ao seu lado Cada segundo, amor', 'Todo mundo ama um dia, todo mundo chora Um dia a gente chega, no outro vai embora Cada um de nós compõe a sua história Cada ser em si carrega o dom de ser capaz De ser feliz']","['tempo', 'melhor', 'cada', 'lado', 'coisas', 'nem', 'hora', 'perto', 'mundo', 'vezes']",4_tempo_melhor_cada_lado
5,142,5_dúvida_cara_mesmo_cima,"['dúvida', 'cara', 'mesmo', 'cima', 'quase', 'escolheu', 'cadê', 'mesmo sabendo', 'quê', 'coragem']","['Que bom que você enxergou que tava errada Se dependesse de mim, tava perdoada Eu sei que é foda carregar todo esse peso Saudade acumulada muda a gente mesmo É uma pena eu não ser quem você ama Eu virei dono desse chip essa semana', 'Mesmo conhecendo todos os meus erros Mesmo sabendo todos os meus defeitos Por que me escolheu? Mesmo sabendo que, eu fraco sou Mesmo sabendo que, eu falho sou, porque me Escolheu?', 'Mesmo conhecendo todos os meus erros Mesmo sabendo todos os meus defeitos Por que me escolheu? Mesmo sabendo que, eu fraco sou Mesmo sabendo que eu falho sou, porque me Escolheu?']","['dúvida', 'cara', 'mesmo', 'cima', 'quase', 'escolheu', 'cadê', 'mesmo sabendo', 'quê', 'coragem']",5_dúvida_cara_mesmo_cima
6,136,6_mel_céu_lua_estrelas,"['mel', 'céu', 'lua', 'estrelas', 'estrela', 'mar', 'sol', 'amar', 'mundo', 'abelha']","['(Pras cowgirl) que usa bota, fivela e chapéu Que tem o mel (As cowgirl) que só no beijo te leva pro céu Que tem o mel (As cowgirl) que usa bota, fivela e chapéu Que tem o mel (As cowgirl) que só no beijo te leva pro céu Que tem o mel (As cowgirl)', 'Nós, livres pra voar Nesse céu que hoje tá tão lindo Carregado de estrelas E a Lua tá cheia refletindo o seu rosto Dá um gosto de pensar Eu, você e o céu e a noite inteira pra amar', 'E nós, livres pra voar Nesse céu que hoje tá tão lindo Carregado de estrelas E a Lua tá cheia refletindo o seu rosto Dá um gosto de pensar Eu, você e o céu e a noite inteira pra amar']","['mel', 'céu', 'lua', 'estrelas', 'estrela', 'mar', 'sol', 'amar', 'mundo', 'abelha']",6_mel_céu_lua_estrelas
7,106,7_amo_escolhi_amo amo_santo santo,"['amo', 'escolhi', 'amo amo', 'santo santo', 'santo', '24 horas', '24', 'gosta mim', 'dizendo', 'horas']","['Te amo, te amo, te amo Te amo, te amo, te amo', 'Te amo demais Como eu te amo Te amo demais Te amo, te amo', 'Te amo Te amo Te amo Te amo']","['amo', 'escolhi', 'amo amo', 'santo santo', 'santo', '24 horas', '24', 'gosta mim', 'dizendo', 'horas']",7_amo_escolhi_amo-amo_santo-santo
8,102,8_celular_telefone_ligar_ligo,"['celular', 'telefone', 'ligar', 'ligo', 'horas', 'atende', 'número', 'mão', 'mandei', 'tela']","['Oh, baby, me atende Ai que vontade de tacar meu celular na parede, ai que vontade Oh, baby, me atende Ai que vontade de jogar meu celular na parede', 'Seu número de celular é fácil apagar As coisas que me deu eu também posso quebrar Mas dentro do meu coração tem foto sua Tem saudade sua espalhada por todo lugar Seu número de celular é fácil apagar As coisas que me deu eu também posso quebrar Mas dentro do meu coração tem foto sua Tem saudade sua espalhada por todo lugar', 'Oh, baby, me atende Ai que vontade de tacar meu celular na parede Oh, baby, me atende Ai que vontade de tacar meu celular na parede']","['celular', 'telefone', 'ligar', 'ligo', 'horas', 'atende', 'número', 'mão', 'mandei', 'tela']",8_celular_telefone_ligar_ligo
