Parent_ID,Parent_Name,Topics,Child_Left_ID,Child_Left_Name,Child_Right_ID,Child_Right_Name,Distance
88,beijo_vida_gente_hoje_amar,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",86,beijo_vida_amar_saudade_amo,87,hoje_aqui_quer_beber_casa,1.271986065190154
87,hoje_aqui_quer_beber_casa,"[4, 12, 16, 17, 19, 20, 21, 24, 25, 27, 28, 29, 30, 32, 34, 35, 36, 37, 38, 39, 42, 43]",76,quer_bagunça_sirvo_quiser_cara,84,hoje_aqui_beber_pai_bar,1.1344484807623205
86,beijo_vida_amar_saudade_amo,"[0, 1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 18, 22, 23, 26, 31, 33, 40, 41, 44]",85,beijo_vida_amar_amo_deus,79,saudade_chorar_chorei_acabou_choro,1.1180307121520452
85,beijo_vida_amar_amo_deus,"[0, 1, 2, 3, 5, 8, 9, 10, 13, 15, 23, 40, 41, 44]",82,amo_amo amo_paixão_amar_solidão,80,beijo_vida_deus_céu_gente,1.0917756451829048
84,hoje_aqui_beber_pai_bar,"[4, 16, 19, 20, 25, 28, 29, 30, 32, 34, 35, 36, 37, 39, 42]",83,hoje_pai_bar_aqui_beber,68,vem_pitoco_delícia_gata_pau,1.0737803002521462
83,hoje_pai_bar_aqui_beber,"[4, 16, 20, 28, 29, 30, 34, 35, 36, 37, 39, 42]",81,pai_bar_filho_cama_mala,74,hoje_beber_parar_aqui_casa,1.034819025782022
82,amo_amo amo_paixão_amar_solidão,"[15, 23, 40, 41, 44]",73,solidão_louca saudade_volta coração_paz coração_agonia,46,amo_amo amo_amar_paixão_amar amar,1.0274813873143234
81,pai_bar_filho_cama_mala,"[20, 29, 34, 35, 36, 37]",61,pai_filho_pegar_velho_pai perguntar,77,bar_cavalo_quarto_faz faz_colchão,1.0076354030954926
80,beijo_vida_deus_céu_gente,"[0, 1, 2, 3, 5, 8, 9, 10, 13]",45,beijo_boca_beija_beijar_apenas,71,deus_céu_vida_anjo_gente,0.9850028395377618
79,saudade_chorar_chorei_acabou_choro,"[6, 7, 11, 14, 18, 22, 26, 31, 33]",51,saudade_chorar_chorei_chora_dor,78,quis_errado_vale_apaixonei_tentei,0.9758645876450381
78,quis_errado_vale_apaixonei_tentei,"[7, 14, 18, 22, 26, 33]",69,vale_fila anda_teve_fila_errado,67,apaixonei_quis_perdi_amor mim_medo,0.9683424272547373
