Topic,Count,Name,Representation,Representative_Docs
-1,2018,-1_amar_saudade_faz_hoje,"['amar', 'saudade', 'faz', 'hoje', 'beijo', 'dá', 'volta', 'amo', 'comigo', 'dar']","['Saber se você faz amor comigo como faz com ela Se quando beija, morde a boca dela Fala besteira no ouvido, como faz comigo Tudo o que eu preciso É saber se você faz amor comigo como faz com ela, ôôô Se é melhor com ela', 'Eu já sonhei com a vida, agora vivo um sonho Mas viver ou sonhar, com você, tanto faz Não diga: Não precisa, eu digo que é preciso A gente se amar demais, nada mais', 'Hoje eu vou beber pra esquecer E eu só quero whisky vagabundo, igual você Que vem com a dor de cabeça junto Acabou as mulher que presta no mundo']"
0,356,0_ninguém_sabe_dá_esquecer,"['ninguém', 'sabe', 'dá', 'esquecer', 'homem', 'nesse', 'gosto', 'precisa', 'ama', 'respeita']","['Quem sente saudade sou eu Então não manda apagar o meu cigarro, abaixar o som do carro Se eu beber, deixa que eu pago Porque nesse bar, nesse lugar, nesse lugar Quem sente saudade sou eu', 'Mas eu gosto assim A Mari não me ama, mas eu gosto assim A gente se pega sem se apegar A gente usa a cama só pra se usar Sem amar', 'Mas eu gosto assim Ela não me ama, mas eu gosto assim A gente se pega sem se apegar A gente usa a cama só pra se usar Sem amar']"
1,295,1_olhos_vejo_sinto_sorriso,"['olhos', 'vejo', 'sinto', 'sorriso', 'olhar', 'mundo', 'perco', 'faz', 'amar', 'cada']","['Mente que eu finjo, que acredito no seu coração Conta uma mentira pra minha paixão Diz que ainda sou o que você mais quis Mente que eu sou o sonho lindo que você sonhou Que a vida inteira você me esperou Basta seu sorriso pra me ver feliz Só um beijo e nada mais pra deixar você em paz E encontrar a minha estrela perdida Só um sonho e nada mais, depois disso tanto faz Uma noite pra esquecer de uma vida, só um beijo e nada mais Pra deixar você em paz, e encontrar a minha estrela perdida Só um sonho e nada mais, depois disso tanto faz Uma noite pra esquecer de uma vida, minha estrela perdida', 'Você vai rir quando eu pedir Pra me fazer mais um favor Deixe eu sonhar, acreditar Mais uma vez num grande amor Mente que eu finjo, que acredito no seu coração Conte uma mentira pra minha paixão Diz que eu ainda sou o que você mais quis Mente que eu sou o sonho lindo que você sonhou E que a vida inteira você me esperou Basta seu sorriso pra me ver feliz Só um beijo e nada mais, pra deixar você em paz E encontrar a minha estrela perdida Só um sonho e nada mais, depois disso tanto faz Uma noite pra esquecer de uma vida, minha estrela perdida', 'Anjo do céu, estrela do mar Tem cor de mel o teu olhar Basta um sorriso pra me enlouquecer Se fecho os olhos eu posso te ver']"
2,269,2_senti_tentei_chorei_apaixonei,"['senti', 'tentei', 'chorei', 'apaixonei', 'perdi', 'mundo', 'pensei', 'fiz', 'quis', 'mundo sabe']","['Você me seduziu, me hipnotizou Eu me apaixonei, a cabeça virou Eu sigo a minha vida numa prisão sem grade Eu sigo te amando e todo mundo sabe Todo mundo sabe Todo mundo sabe Todo mundo sabe', 'Você me seduziu, me hipnotizou Eu me apaixonei, a cabeça virou Eu sigo minha vida numa prisão sem grade E todo mundo sabe Todo mundo sabe Todo mundo sabe', 'A primeira vez que eu te vi Gamei, apaixonei, sonhei, tentei falar, a voz não saiu A primeira vez que eu te vi Gamei, apaixonei, sonhei, tentei falar, a voz não saiu']"
3,255,3_tava_quase_beijo_deu,"['tava', 'quase', 'beijo', 'deu', 'cara', 'boca', 'raiva', 'beijo amor', 'depois', 'desculpa']","['Eu vou pegar todo mundo Virar um vagabundo Depois que eu ficar com essa cidade inteira Aí cê vai lembrar Do tanto que eu te dei amor E o tanto que você não deu valor É sua única chance', 'Eu vou pegar todo mundo (eu vou pegar todo mundo) Virar um vagabundo (virar um vagabundo) Depois que eu ficar com essa cidade inteira Aí cê vai lembrar (mas eu te dei amor) Do tanto que eu te dei amor (você não deu valor) E o tanto que você não deu valor E a sua única chance vai ser Em qualquer balada por aí Vou te beijar sem perceber Sem ver que é você', 'Eu vou pegar todo mundo Virar um vagabundo Depois que eu ficar com essa cidade inteira Aí cê vai lembrar Do tanto que eu te dei amor E o tanto que você não deu valor E a sua única chance vai ser Em alguma balada da vida Eu te beijar sem perceber Sem ver que é você']"
4,221,4_pira_toma_balada_mulherada,"['pira', 'toma', 'balada', 'mulherada', 'mina', 'arrocha', 'faz', 'som', 'clima', 'entra']","['Pira, pira Toma tequila Sobe na mesa', 'As mina pira, Pira Entra no clima Pra cima!', 'As mina pira, pira Toma tequila Sobe na mesa Pula na piscina']"
5,196,5_vem_tchau_vem vem_empina,"['vem', 'tchau', 'vem vem', 'empina', 'delícia', 'doce', 'beija', 'volta', 'gente amar', 'bomberman']","['Pirou, mulher? Tá doida, é? Vem que vem com tudo, que eu vou dar o que você quer Pirou, mulher? Tá doidaça Vem que vem com tudo, que hoje a gente se arregaça Pirou, mulher? Tá doida, é? Vem que vem com tudo, que eu vou dar o que você quer Pirou, mulher? Tá doidaça Vem que vem com tudo, que hoje a gente se arregaça', 'Eu quero ser o seu amor Eu quero te agarrar meu bem E chega mais pra perto, vem vem Vem papai, vem', 'Eu quero ser o seu amor Eu quero te agarrar meu bem Ôh chega mais pra perto, vem vem Vem papai, vem']"
6,169,6_querendo_querendo querendo_indo_vendo,"['querendo', 'querendo querendo', 'indo', 'vendo', 'estourado', 'saber', 'veneno', 'fazendo', 'vó', 'rindo']","['E o meu tá dando sinal Que tá querendo Que tá querendo te amar', 'Uh tá querendo, uh tá querendo, uh tá querendo Cê tá querendo, vai', 'Uh tá querendo, uh tá querendo Uh tá querendo, uh tá querendo']"
7,121,7_hoje_aceitar_hoje rolar_estou,"['hoje', 'aceitar', 'hoje rolar', 'estou', 'chorar', 'enganou', 'perdeu', 'rolar', 'bater porta', 'posso']","['Hoje não, sou mais seu Hoje não, me perdeu Hoje não vai rolar Não, não, não, não', 'Hoje não, sou mais seu Hoje não, me perdeu Hoje não vai rolar Hoje não vai me pegar Hoje não sou mais seu Hoje não, me perdeu Hoje não vai rolar Não, não, não, não', 'Hoje não, sou mais seu Hoje não, me perdeu Hoje não vai rolar Hoje não vai me pegar Hoje não, sou mais seu Hoje não, me perdeu Hoje não, vai rolar Não, não, não, não']"
8,107,8_antes_são_deus_paz,"['antes', 'são', 'deus', 'paz', 'planos', 'amigos', 'existe', 'tenha', 'agonia', 'recomeçar']","['Meu coração apaixonado atormentado em dores Procura entre os outros, o inventor dos amores Espero que essa paixão nunca me deixe mal Eu quero te amar e quero também ser amado Desejo ser o seu amor e não o seu escravo Espero que essa paixão não tenha ponto final Senão adeus, tchau, tchau!', 'Antes de falar, escute Antes de escrever, pense Antes de gastar, ganhe Antes de orar, perdoe Antes de magoar, sinta Antes de odiar, ame Antes de desistir, tente, tente Antes de morrer', 'E antes de falar, escute Antes de escrever, pense Antes de gastar, ganhe Antes de orar, perdoe Antes de magoar, sinta Antes de odiar, ame Antes de desistir, tente, tente Antes de morrer']"
