Topic,Count,Name,Representation,Representative_Docs,Representation_Clean,Name_Clean
-1,2355,-1_amor_coração_mim_ver,"['amor', 'coração', 'mim', 'ver', 'faz', 'tempo', 'saudade', 'amar', 'amo', 'beijo']","['Do que você me dá, eu quero sempre mais Por uma hora ou duas noites, tanto faz Já leu minha mão, meu olhar, meu futuro Já sabe: Se manda mensagem, eu nem durmo Me leva pro céu, lá de cima me joga Esse amor cigano é um caminho sem volta', 'Quando o amor passar da hora de terminar Qualquer sentimento é por obrigação Transa só por transar, pensamento noutro lugar O beijo na boca não tem mais paixão O corpo não mente, a alma não sente Não sabe como enganar No espelho dos olhos tá escrito: Não dá', 'Saber se você faz amor comigo como faz com ela']","['amor', 'coração', 'mim', 'ver', 'faz', 'tempo', 'saudade', 'amar', 'amo', 'beijo']",-1_amor_coração_mim_ver
0,150,0_beber_cerveja_bebendo_parar,"['beber', 'cerveja', 'bebendo', 'parar', 'bebo', 'tomou', 'copo', 'garrafa', 'mesa', 'toma']","['Amiga, cê tava bebaça Subindo na mesa, virando garrafa Amiga, cê tava bebaça Tomou tequila, tomou cerveja Tomou tudo, tomou fora Só não tomou vergonha na cara', 'Se amanhã vou chorar? Aposto Mas que hoje eu vou suar, certeza Se der certo, eu compro as aliança Se der errado Compro uns remédio pra dor de cabeça Se for pra errar, então que eu erre logo Que logo, logo outra pessoa chega Se der certo, eu compro as aliança Se der errado Compro uns remédio pra dor de cabeça, ai, ai, ai, ai', 'Eu só vou beber mais hoje, amanhã vou parar']","['beber', 'cerveja', 'bebendo', 'parar', 'bebo', 'tomou', 'copo', 'garrafa', 'mesa', 'toma']",0_beber_cerveja_bebendo_parar
1,149,1_amo_amor_amar_mundo,"['amo', 'amor', 'amar', 'mundo', 'amo amo', 'feliz', 'dia', 'envio', 'canção', 'todo dia']","['Eu amo quem você foi, quem você é e quem cê vai ser Perdoo o que você fez ou que um dia possa fazer É que eu amo, é que eu amo, é que eu amo, é que eu amo você', 'Todo dia eu quero, todo dia espero Todo dia eu chamo, todo dia eu amo Só você, iê, iê E vai valer a pena mudar essa cena Viver meu roteiro, amo o tempo inteiro Só você', 'Todo dia eu quero, todo dia espero Todo dia eu chamo, todo dia eu amo (eu amo) Só você, iê, iê E vai valer a pena mudar essa cena Viver o meu roteiro, amo o tempo inteiro Só você']","['amo', 'amor', 'amar', 'mundo', 'amo amo', 'feliz', 'dia', 'envio', 'canção', 'todo dia']",1_amo_amor_amar_mundo
2,139,2_saudade_vivo_coração_sofrendo,"['saudade', 'vivo', 'coração', 'sofrendo', 'solidão', 'sinto', 'sentindo', 'chorei', 'acabou', 'sinto saudade']","['Remoendo saudade, ruminando dor Vivo sofrendo, esperando esse amor Fez um estrago no meu coração Bagunçou, bagunçou a vida desse peão Remoendo saudade, ruminando dor Vivo sofrendo, esperando esse amor Fez um estrago no meu coração E o que essa moça fez aqui? E o que essa moça fez aqui? E o que essa moça fez aqui?', 'Eu sinto saudade Eu fico, eu vivo sentindo a sua saudade, de nós, na voz Saudade da gente, saudade é pra sempre Eu vivo sentindo a sua saudade', 'Eu sinto saudade Eu fico, eu vivo sentindo a sua saudade, de nós, na voz Saudade da gente, saudade é pra sempre']","['saudade', 'vivo', 'coração', 'sofrendo', 'solidão', 'sinto', 'sentindo', 'chorei', 'acabou', 'sinto saudade']",2_saudade_vivo_coração_sofrendo
3,138,3_perdeu_valor_amor_chorar,"['perdeu', 'valor', 'amor', 'chorar', 'superar', 'deu valor', 'levando', 'outro', 'dar valor', 'deu']","['Quem tanto te amava e estava sempre ao seu dispor Te valorizava, mas você nunca me deu valor Perdeu, perdeu, perdeu, perdeu Não tem apelação, reclamação Seu caso foi julgado E o seu coração está condenado a viver sem o meu Perdeu, perdeu, perdeu, perdeu', 'Perdeu perdeu, sua chance passou e o amor acabou E eu não sou mais teu, perdeu Pára de chorar e ocupe o lugar que você escolheu Perdeu, perdeu, perdeu, perdeu', 'Sua chance passou e o amor acabou E eu não sou mais teu, perdeu Pára de chorar e ocupe o lugar que você escolheu Perdeu Quem tanto te amava e estava sempre ao seu dispor Te valorizava, mas você nunca me deu valor Perdeu, perdeu, perdeu, perdeu Não tem apelação, reclamação Seu caso foi julgado E o seu coração está condenado a viver sem o meu Perdeu, perdeu, perdeu, perdeu']","['perdeu', 'valor', 'amor', 'chorar', 'superar', 'deu valor', 'levando', 'outro', 'dar valor', 'deu']",3_perdeu_valor_amor_chorar
4,135,4_pira_dançar_pega_balada,"['pira', 'dançar', 'pega', 'balada', 'mulherada', 'mina', 'clima', 'cobra', 'tocando', 'chega']","['A festa é boa hoje e o bicho vai pegar Tem Henrique e Diego e o pau vai quebrar Eu já liguei pras gata, as mais linda, sem noção Camarote lotado só tocando os pancadão Eu desço champanhe as mina pira e paga pau Desço um pouco de Whisky pra elas liberar geral O povo ficando louco, todo desorientado E sua mulher não pode saber que você está aqui do lado', 'Cheguei na balada, doidinho pra biritar A galera tá no clima, todo mundo quer dançar Uma mina me chamou, e disse: Faz um tchu tcha tcha Perguntei o que é isso, ela disse: Eu vou te ensinar É uma dança sensual, em Goiânia já pegou Em Minas explodiu, em Tocantins já bombou No nordeste as mina faz, no verão vai pegar Então faz o tchu tcha tcha, o Brasil inteiro vai cantar', 'As mina pira, pira Entra no clima Tá fácil de pegar Pra cima!']","['pira', 'dançar', 'pega', 'balada', 'mulherada', 'mina', 'clima', 'cobra', 'tocando', 'chega']",4_pira_dançar_pega_balada
5,91,5_beijo_beijava_todo mundo_beijando,"['beijo', 'beijava', 'todo mundo', 'beijando', 'mundo menos', 'mão', 'boca', 'dava', 'todo', 'mundo']","['Eu namorava uma morena que não me dava problema, só dava beijo na boca Era beijo no mercado, no postinho de saúde e até estendendo roupa Mas de um tempo cá ela tá meio custosa, ridica beijo pra mim Fez um plim-plim no meu Zap os vídeo dessa covarde, foi aí que eu descobri', 'Que ela beijava todo mundo, todo mundo, todo mundo, menos eu Só eu que ela não beijava, porque ela tava beijando todo mundo, menos eu Que ela beijava todo mundo, todo mundo, menos eu Só eu que ela não beijava, porque ela tava beijando todo mundo, menos eu', 'Que ele beijava todo mundo, todo mundo, todo mundo, menos eu Só eu que ele não beijava, porque ele tava beijando todo mundo, menos eu Que ele beijava todo mundo, todo mundo, todo mundo, menos eu Só eu que ele não beijava, porque ele tava beijando todo mundo, menos eu Só eu que ela não beijava, porque ela tava beijando todo mundo, menos eu']","['beijo', 'beijava', 'todo mundo', 'beijando', 'mundo menos', 'mão', 'boca', 'dava', 'todo', 'mundo']",5_beijo_beijava_todo-mundo_beijando
6,81,6_beijo_vem_apenas_amor somos,"['beijo', 'vem', 'apenas', 'amor somos', 'vem vem', 'amor abrace', 'boca', 'somos', 'abrace', 'sentir']","['Hoje eu quero te tocar, sentir seu coração Quero namorar, viver essa paixão Me dá um beijo Nesse amor somos apenas um Oh, meu amor, me abrace Amor, somos apenas um', 'Aí então, quando você sentir os lábios meus Verá que o seu caminho é de encontro ao meu E, nesse beijo, nosso amor será apenas um Oh, meu amor, me abrace Amor, somos apenas um Oh, somos apenas um', 'Aí então, quando você sentir os lábios meus Verá que o seu caminho é de encontro ao meu E, nesse beijo, nosso amor será apenas um Oh, meu amor, me abrace Amor somos apenas um Oh, meu amor, me abrace Amor somos apenas um Oh, meu amor, me abrace Amor somos apenas um']","['beijo', 'vem', 'apenas', 'amor somos', 'vem vem', 'amor abrace', 'boca', 'somos', 'abrace', 'sentir']",6_beijo_vem_apenas_amor-somos
7,79,7_lua_céu_estrelas_sol,"['lua', 'céu', 'estrelas', 'sol', 'mar', 'lindo', 'cheia', 'janela', 'imensidão', 'brilhar']","['Hoje sonhei com você E era noite de lua cheia No sonho eu te beijei A lua, eu, você e as estrelas', 'Nós, livres pra voar Nesse céu que hoje tá tão lindo Carregado de estrelas E a Lua tá cheia refletindo o seu rosto Dá um gosto de pensar Eu, você e o céu e a noite inteira pra amar', 'E nós, livres pra voar Nesse céu que hoje tá tão lindo Carregado de estrelas E a Lua tá cheia refletindo o seu rosto Dá um gosto de pensar Eu, você e o céu e a noite inteira pra amar']","['lua', 'céu', 'estrelas', 'sol', 'mar', 'lindo', 'cheia', 'janela', 'imensidão', 'brilhar']",7_lua_céu_estrelas_sol
8,76,8_deus_jesus_cantar_céu,"['deus', 'jesus', 'cantar', 'céu', 'viver', 'vamos', 'força', 'senhor', 'são', 'adore']","['Caminha que Jesus te dá mais força Caminha que Jesus provê o pão O barco pode estar balançando Mas Jesus está guiando a embarcação Caminha que Jesus é livramento Caminha que ele mesmo sopra o vento Está tirando os pedregulhos do caminho Só pra você passar Então canta, descansa e anda', 'Caminha que Jesus te dá mais força Caminha que Jesus provê o pão O barco pode estar balançando Mas Jesus está guiando a embarcação Caminha que Jesus é livramento Caminha que ele mesmo sopra o vento Está tirando os pedregulhos do caminho Só pra você passar', 'Caminha que Jesus te dá mais força Caminha que Jesus provê o pão O barco pode estar balançando Mas Jesus está guiando a embarcação Caminha que Jesus é livramento Caminha que ele mesmo sopra o vento Está tirando os pedregulhos do caminho Só pra você passar Então canta']","['deus', 'jesus', 'cantar', 'céu', 'viver', 'vamos', 'força', 'senhor', 'são', 'adore']",8_deus_jesus_cantar_céu
