Topic,Count,Name,Representation,Representative_Docs
-1,2066,-1_coração_tudo_saudade_mundo,"['coração', 'tudo', 'saudade', 'mundo', 'tempo', 'faz', 'vem', 'amar', 'todo', 'dá']","['Larga tudo e vem correndo Vem matar minha vontade Já faz tempo que eu tô sofrendo Mereço um pouco de felicidade', 'Você vai rir quando eu pedir Pra me fazer mais um favor Deixe eu sonhar, acreditar Mais uma vez num grande amor Mente que eu finjo, que acredito no seu coração Conte uma mentira pra minha paixão Diz que eu ainda sou o que você mais quis Mente que eu sou o sonho lindo que você sonhou E que a vida inteira você me esperou Basta seu sorriso pra me ver feliz Só um beijo e nada mais, pra deixar você em paz E encontrar a minha estrela perdida Só um sonho e nada mais, depois disso tanto faz Uma noite pra esquecer de uma vida, minha estrela perdida', 'Me deu a luz, me trouxe a paz, me deu o mundo Eu te adoro desde o primeiro segundo É pai e mãe É o meu chão, melhor amiga És o meu anjo Eu vou te amar por toda a vida']"
0,287,0_amo_tudo_tempo_paixão,"['amo', 'tudo', 'tempo', 'paixão', 'sei amo', 'fim', 'outro', 'segredos', 'dá', 'amar']","['Eu não te amo como ontem Amo mil vezes mais Me conte os teus segredos Mostre os teus sinais Se me perguntar qual é o seu defeito Ainda não sei Te amo e nada mais', 'Eu não te amo como ontem Amo mil vezes mais Me conte os teus segredos Mostre os teus sinais E se me perguntar qual é o seu defeito Ainda não sei Te amo e nada mais', 'Eu não te amo como ontem Eu amo mil vezes mais Me conte os teus segredos Mostre os teus sinais E se me perguntar qual é o seu defeito Ainda não sei Te amo e nada mais Te amo e nada mais']"
1,203,1_acordar_corpo_dose_sinto,"['acordar', 'corpo', 'dose', 'sinto', 'choro', 'dormir', 'coração', 'olhos', 'hoje', 'tanto']","['Como é que tá seu coração sozin sem mim? E se tiver igual ao meu, que dó, tadin Pro nosso bem, escuta a dica Pega a sua vida e traz de volta pra minha', 'Como é que tá seu coração sozin sem mim? E se tiver igual ao meu, que dó, tadin Pro nosso bem, escuta a dica Pega a sua vida e traz de volta', 'Como é que tá seu coração sozin sem mim? E se tiver igual ao meu, que dó, tadin Pro nosso bem, escuta a dica Pega a sua vida e traz de volta pra minha E traz de volta']"
2,179,2_beijo_boca_empina_beijando,"['beijo', 'boca', 'empina', 'beijando', 'beijar', 'arrocha', 'beija', 'corpo', 'todo mundo', 'apenas']","['Eu namorava um moreno que não me dava problema, só dava beijo na boca Era beijo no mercado, no postinho de saúde e até estendendo roupa Mas de um tempo cá ele tá meio custoso, ridica beijo pra mim Fez um plim-plim no meu Zap os vídeo desse covarde, foi aí que eu descobri', 'Eu namorava uma morena que não me dava problema, só dava beijo na boca Era beijo no mercado, no postinho de saúde e até estendendo roupa Mas de um tempo cá ela tá meio custosa, ridica beijo pra mim Fez um plim-plim no meu Zap os vídeo dessa covarde, foi aí que eu descobri', 'Se quer um beijo apenas me dê um sorriso Nesse beijo vai querer ficar comigo E acreditar no amor']"
3,142,3_lua_sol_céu_estrelas,"['lua', 'sol', 'céu', 'estrelas', 'sonhar', 'voar', 'mar', 'estrela', 'amar', 'luz']","['Hoje sonhei com você E era noite de lua cheia No sonho eu te beijei A lua, eu, você e as estrelas', 'Nós, livres pra voar Nesse céu que hoje tá tão lindo Carregado de estrelas E a Lua tá cheia refletindo o seu rosto Dá um gosto de pensar Eu, você e o céu e a noite inteira pra amar', 'E nós, livres pra voar Nesse céu que hoje tá tão lindo Carregado de estrelas E a Lua tá cheia refletindo o seu rosto Dá um gosto de pensar Eu, você e o céu e a noite inteira pra amar']"
4,134,4_noite_coração_amar_amo,"['noite', 'coração', 'amar', 'amo', 'beijo', 'paixão', 'vem', 'sabe amor', 'perto', 'desejo']","['Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia', 'Iê, iê Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado E dessa vez tudo é real, nada de fantasia Saiba que eu te amo, amo noite e dia', 'Passa o dia, passa a noite, tô apaixonado Coração no peito sofre sem você do lado Dessa vez tudo é real, nada de fantasia Saiba que eu te amo, eu amo noite e dia Amo noite e dia']"
5,129,5_deus_coloca_senhor_cuidado,"['deus', 'coloca', 'senhor', 'cuidado', 'pé', 'chão', 'santo', 'igreja', 'amigos', 'cuidado cuidado']","['Preocupa não Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé', 'Preocupa não Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão', 'Preocupa não Quando cê coloca o pé, Deus coloca o chão Quando se coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão Quando cê coloca o pé, Deus coloca o chão']"
6,114,6_sentir saudade_chorar_sofrer_sentir,"['sentir saudade', 'chorar', 'sofrer', 'sentir', 'caminho', 'for embora', 'morrer', 'dor', 'embora', 'levando vida']","['Vai sentir saudade Vai sentir saudade Vai sentir saudade O dia que eu for embora', 'Por isso, amor O dia que eu for embora Você vai sentir saudade O dia que eu for embora Você vai sentir saudade', 'O dia que eu for embora Você vai sentir saudade O dia que eu for embora Você vai sentir saudade']"
7,97,7_jogo_fora_jogado_jogando,"['jogo', 'fora', 'jogado', 'jogando', 'fogo', 'lance', 'jogava', 'outra', 'errado', 'joga']","['Jogado Bebendo pra entender o que cê fez comigo Um copo de cerveja, um coração ferido Não foi falta de aviso E se eu sumir Não é coincidência ou coisa do destino Quando me ver com outra e estiver sorrindo Vai me ver no seu passado Você perdeu o cara errado', 'Você me provoca e eu entro no seu jogo Sabe dar as cartas, sabe me ganhar Me coloca sempre em prova de fogo É tudo que eu preciso pra me entregar', 'Você me provoca, eu entro no seu jogo Sabe dar as cartas, sabe me ganhar Me coloca sempre em prova de fogo É tudo que eu preciso pra me entregar']"
8,95,8_superar_romântico_parece_amante,"['superar', 'romântico', 'parece', 'amante', 'cuida', 'casamento', 'atrás outra', 'casar', 'saber faz', 'comigo faz']","['É uma ciumeira atrás da outra Ter que dividir seu corpo e a sua boca Tá bom que eu aceitei por um instante A verdade é que amante não que ser amante É uma ciumeira atrás da outra', 'Vou ter que superar suas fotos com ela viajando E as amigas comentando que são um belo casal Vou ter que superar o dia do casamento Esperando que o tempo aos poucos possa me curar', 'É uma ciumeira atrás da outra Ter que dividir seu corpo e a sua boca Tá bom que eu aceitei por um instante A verdade é que amante não quer ser amante É uma ciumeira atrás da outra Ter que dividir seu corpo e a sua boca Tá bom que eu aceitei por um instante A verdade é que amante não quer ser amante É uma ciumeira atrás da outra']"
9,90,9_amo_sinto_quantos_diga amo,"['amo', 'sinto', 'quantos', 'diga amo', 'amo amo', 'gritando', 'culpa', 'ame', 'carta', 'responder']","['Te amo demais Como eu te amo Te amo demais Te amo, te amo', 'E toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo (te amo) Toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo', 'E toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo (te amo) E toda vez que você me disser oi Eu vou responder só oi Com o meu peito gritando: Te amo']"
10,89,10_volta_será_povo_ninguém,"['volta', 'será', 'povo', 'ninguém', 'outro', 'será rolar', 'ser gente', 'gente ser', 'tipo', 'dinheiro']","['Será que vai rolar da gente ficar? Será, será? Eu quero é tentar Será que vai rolar da gente ficar? Será, será? Eu quero é tentar', 'A bebida não volta pro copo O meu choro não volta pro olho A fumaça não volta pro peito e a brasa não volta a ser fogo O tempo não volta pro relógio E o dinheiro não volta pro bolso Resumindo, é por isso que a gente não volta um pro outro', 'A bebida não volta pro copo E o meu choro não volta pro olho A fumaça não volta pro peito e a brasa não volta a ser fogo O tempo não volta pro relógio E o dinheiro não volta pro bolso Resumindo, é por isso que a gente não volta um pro outro']"
11,85,11_culpa_teve_perdeu perdeu_terminando,"['culpa', 'teve', 'perdeu perdeu', 'terminando', 'perdeu', 'briga', 'culpar', 'desculpa', 'tudo', 'jurei']","['Quem tanto te amava e estava sempre ao seu dispor Te valorizava, mas você nunca me deu valor Perdeu, perdeu, perdeu, perdeu Não tem apelação, reclamação Seu caso foi julgado E o seu coração está condenado a viver sem o meu Perdeu, perdeu, perdeu, perdeu', 'A briga foi feia Teve dedo na cara Teve voz alterada Teve tudo que tem em uma discussão Mas eu não, eu não tava terminando, não Você confundiu seu coração', 'A briga foi feia Teve dedo na cara Teve voz alterada Teve tudo que tem em uma discussão Mas eu não, eu não tava terminando, não Você confundiu seu coração Eu não tava terminando, não']"
12,82,12_celular_internet_mensagem_fila anda,"['celular', 'internet', 'mensagem', 'fila anda', 'lento', 'fila', 'usando', 'anda fila', 'anda', 'telefone']","['Se o Wi-Fi (Wi-Fi) tá lento (tá lento), travando (travando) Tem mais gente usando (uou, usando) E nem é de Internet que eu tô falando Do seu amor eu tô me desligando Uh, uh Do seu amor eu tô me desligando Uh, uh E nem é de Internet que eu tô falando', 'E se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando E se o Wi-Fi tá lento, travando Tem mais gente usando E nem é de Internet que eu tô falando Do seu amor eu tô me desligando', 'Eu vou trocar meu celular num Nokia tijolão Que só manda mensagem e faz ligação Se eu ver mais um vídeo seu, sem eu, sendo feliz Certeza que a minha vida vai tá por um triz Me mata não! Essa internet virou arma na sua mão']"
13,78,13_complicado_plano_acabou_desejo outro,"['complicado', 'plano', 'acabou', 'desejo outro', 'amor mim', 'amar', 'hora amar', 'contar amor', 'outro amor', 'fingiu']","['Você deve estar com medo de contar Que seu amor, por mim acabou, sempre fingiu, nada sentiu na hora de amar', 'Tá complicado esquecer teu sorriso O sentimento, a paixão que ficou Serão pra sempre os mesmos encantos Mas, no momento, eu desejo outro amor', 'Tá complicado esquecer teu sorriso O sentimento, a paixão que ficou Serão pra sempre os mesmos encantos Mas no momento eu desejo outro amor Tá complicado esquecer teu sorriso O sentimento, a paixão que ficou Serão pra sempre os mesmos encantos Mas, no momento, eu desejo outro amor']"
14,70,14_filme_cinema_beijo amor_final,"['filme', 'cinema', 'beijo amor', 'final', 'romance', 'bom', 'dois', 'juntos', 'fosse', 'depois']","['Mas o último filme não chegou ao final A gente apagou bem na briga do casal Que depois de discutir vários assuntos Deram um beijo de amor, oh, oh E terminaram Um beijo de amor, oh, oh Deram um beijo de amor E terminaram juntos', 'Mas o último filme não chegou ao final A gente apagou bem na briga do casal Que depois de discutir vários assuntos Deram um beijo de amor, oh, oh Deram um beijo de amor Deram um beijo', 'Mas o último filme não chegou ao final A gente apagou bem na briga do casal Que depois de discutir vários assuntos Deram um beijo de amor Deram um beijo de amor Deram um beijo de amor E terminaram juntos']"
15,59,15_ser feliz_feliz_lembrar_amor amor,"['ser feliz', 'feliz', 'lembrar', 'amor amor', '24 horas', '24', 'lembrar mim', 'preciso', 'sabe', 'feliz preciso']","['Não há razões para não ser feliz Mas pra ser feliz, preciso de uma razão E o motivo é você (você), sempre foi você (você) O fantasma do meu coração', 'Não há razões para não ser feliz Mas pra ser feliz, preciso de uma razão E o motivo é você (você), sempre foi você O fantasma do meu coração', 'Não há razões para não ser feliz Mas pra ser feliz, preciso de uma razão E o motivo é você, sempre foi você O fantasma do meu coração']"
16,57,16_ex_acabou_ser ex_valorizando,"['ex', 'acabou', 'ser ex', 'valorizando', 'engole', 'acabou amor', 'queria', 'casado', 'namoro', 'embora']","['Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque Cresce', 'Cê foi embora pra ser ex, seja ex Cê foi embora, então desaparece Porque a gente já passou dos trinta, cê não é mais uma menina E eu não sou moleque', 'Cê foi embora pra ser ex, seja ex Cê foi embora pra sumir, some O que cê tá fazendo com a minha vida é putaria, me desculpa Não tem outro nome']"
17,52,17_doce_bomberman_lentamente_nhec,"['doce', 'bomberman', 'lentamente', 'nhec', 'sarrando', 'santo santo', 'nem conto', 'santo', 'todo mundo', 'conto']","['Todo mundo Todo mundo, todo mundo vê Todo mundo, menos você (todo mundo, todo mundo, todo mundo vê) Todo mundo, menos você', 'Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec nhec', 'Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec nhec Eu tô que nem o Pac Man Que nem o Pac Man Nhec nhec nhec']"
