Topic,Count,Name,Representation,Representative_Docs
-1,2163,-1_gente_vida_todo_tempo,"['gente', 'vida', 'todo', 'tempo', 'faz', 'aqui', 'quer', 'saudade', 'mundo', 'vem']","['Eu vou pegar todo mundo Virar um vagabundo Depois que eu ficar com essa cidade inteira Aí cê vai lembrar Do tanto que eu te dei amor E o tanto que você não deu valor É sua única chance', 'Todo mundo Todo mundo, todo mundo vê Todo mundo (só queria que você soubesse) Todo mundo, todo mundo vê Todo mundo (que toda minha mudança é genuína) Todo mundo, todo mundo vê (genuinamente por você) Todo mundo, menos você', 'Eu vou pegar todo mundo Virar um vagabundo Depois que eu ficar com essa cidade inteira Aí cê vai lembrar Do tanto que eu te dei amor E o tanto que você não deu valor E a sua única chance vai ser Em alguma balada da vida Eu te beijar sem perceber Sem ver que é você']"
0,323,0_mulher_toda_cabelo_perfume,"['mulher', 'toda', 'cabelo', 'perfume', 'toda toda', 'moça aqui', 'moça', 'linda', 'dançar', 'roupa']","['Cuida bem dela Você não vai conhecer alguém melhor que ela Promete pra mim O que você jurar pra ela, você vai cumprir Cuida bem dela Ela gosta que reparem no cabelo dela Foi por um triz Mas fui incapaz de ser o que ela sempre quis Faça ela feliz', 'Cuida bem dela Você não vai conhecer alguém melhor que ela Promete pra mim O que você jurar pra ela, você vai cumprir Cuida bem dela Ela gosta que reparem no cabelo dela Foi por um triz Mas fui incapaz de ser o que ela sempre quis Faça ela feliz, uou', 'Ela é toda, toda, toda perfeitinha E o melhor é que ela é toda, toda minha Ela é toda, toda, toda perfeitinha Dá vontade de guardar numa caixinha']"
1,215,1_gente_vida_outro_amar,"['gente', 'vida', 'outro', 'amar', 'paixão', 'existe', 'tempo', 'outro amor', 'amor gente', 'dois']","['Oh-oh, cê que sabe, amor Se a gente fica junto ou dá um tempo Ooh, eu te espero Oh-oh, cê que sabe, amor Nossa relação tem tudo pra dar certo Nós já estamos tão perto, tão perto, coração', 'Oh-oh, cê que sabe, amor Se a gente fica junto ou dá um tempo Mesmo assim eu te espero, eu te espero Oh-oh, cê que sabe, amor Nossa relação tem tudo pra dar certo Nós já estamos tão perto, tão perto, coração', 'Oh-oh, cê que sabe, amor Se a gente fica junto ou dá um tempo Mesmo assim eu te espero, eu te espero Oh-oh, cê que sabe, amor Nossa relação tem tudo pra dar certo Nós já estamos tão perto, tão perto']"
2,188,2_beijo_beija_boca_beijar,"['beijo', 'beija', 'boca', 'beijar', 'apenas', 'encontro', 'abraço', 'corpo', 'faz', 'dá']","['Aí então, quando você sentir os lábios meus Verá que o seu caminho é de encontro ao meu E, nesse beijo, nosso amor será apenas um Oh, meu amor, me abrace Amor, somos apenas um Oh, somos apenas um', 'É que um beijo pode fazer a diferença Apaga o passado e arranca o laço que a paixão deixou Na levada do arrocha é que eu vou Se quer um beijo apenas me dê um sorriso Nesse beijo vai querer ficar comigo E acreditar no amor', 'Se quer um beijo apenas me dê um sorriso Nesse beijo vai querer ficar comigo E acreditar no amor']"
3,148,3_anjo_deus_senhor_céu,"['anjo', 'deus', 'senhor', 'céu', 'jesus', 'anjos', 'cantar', 'santo', 'vamos', 'amigos']","['Nós somos mais que amigos Somos anjos que o Senhor enviou Vamos gritar para o mundo ouvir Somos anjos que o senhor enviou', 'Sou muito mais que um amigo Sou o anjo que o Senhor enviou Pode gritar para o mundo ouvir Sou o anjo que o Senhor enviou pra ti', 'Sou muito mais que um amigo Sou o anjo que o Senhor enviou Pode gritar para o mundo ouvir Sou o anjo, que o Senhor enviou']"
4,112,4_beber_parar_mesa_bebo,"['beber', 'parar', 'mesa', 'bebo', 'gelada', 'garrafa', 'bebendo', 'copo', 'pira', 'volta']","['Já fiz uma promessa e Deus vai me ajudar Eu só vou beber mais hoje, amanhã vou parar Eu já fiz uma promessa e Deus vai me ajudar Eu só vou beber mais hoje, amanhã vou parar', 'Eu vou parar, eu vou parar Eu vou parar, eu vou parar Eu só vou beber mais hoje, amanhã vou parar Eu vou parar, eu vou parar Eu vou parar, eu vou parar Eu só vou beber mais hoje, amanhã vou parar', 'Eu só vou beber mais hoje, amanhã vou parar']"
5,107,5_lua_céu_sol_chove,"['lua', 'céu', 'sol', 'chove', 'chuva', 'estrelas', 'voar', 'mar', 'lua cheia', 'luz']","['Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Lava do meu peito as lembranças que me invadem Por favor', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem', 'Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Chove, chuva, chove vem lavar esta saudade Leva do meu peito as lembranças que me invadem Por favor']"
6,84,6_chorar_chorei_choro_sofri,"['chorar', 'chorei', 'choro', 'sofri', 'ver chorar', 'perder', 'perdi', 'medo', 'juízo', 'sofrer']","['Então valeu te ver assim, pedindo pra voltar Valeu demais te ver no meu lugar Valeu te ver sofrer o que sofri, chorar o que chorei', 'Então valeu (te ver assim), pedindo pra voltar Valeu demais te ver no meu lugar Valeu te ver sofrer o que sofri, chorar o que chorei', 'Pode chorar, mas eu não volto pra você Pode chorar, você não vai me convencer Pode chorar, você se lembra o quanto eu chorei por você?']"
7,75,7_fila anda_fila_anda fila_anda,"['fila anda', 'fila', 'anda fila', 'anda', 'teve', 'virou', 'jogando', 'errado', 'choro', 'família']","['Jogado Bebendo pra entender o que cê fez comigo Um copo de cerveja, um coração ferido Não foi falta de aviso E se eu sumir Não é coincidência ou coisa do destino Quando me ver com outra e estiver sorrindo Vai me ver no seu passado Você perdeu o cara errado', 'Foi você quem quis assim Abusou demais, pisou em mim Doeu e aí, então, saltei de banda A fila anda, a fila anda, a fila anda A fila anda, a fila anda, a fila anda', 'Foi você quem quis assim Abusou demais, pisou em mim Doeu e aí, então, saltei de banda A fila anda, a fila anda, a fila anda']"
8,72,8_beijo_todo mundo_mundo menos_beijo amor,"['beijo', 'todo mundo', 'mundo menos', 'beijo amor', 'boca', 'tava', 'todo', 'menos', 'beijei', 'mundo']","['Mas o último filme não chegou ao final A gente apagou bem na briga do casal Que depois de discutir vários assuntos Deram um beijo de amor, oh, oh Deram um beijo de amor Deram um beijo', 'Que ela beijava todo mundo, todo mundo, todo mundo, menos eu Só eu que ela não beijava, porque ela tava beijando todo mundo, menos eu Que ela beijava todo mundo, todo mundo, menos eu Só eu que ela não beijava, porque ela tava beijando todo mundo, menos eu', 'Que ele beijava todo mundo, todo mundo, todo mundo, menos eu Só eu que ele não beijava, porque ele tava beijando todo mundo, menos eu Que ele beijava todo mundo, todo mundo, todo mundo, menos eu Só eu que ele não beijava, porque ele tava beijando todo mundo, menos eu Só eu que ela não beijava, porque ela tava beijando todo mundo, menos eu']"
